Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Comparative evaluation of machine learning methods for protecting LLMs from prompt injection attacks,International Journal of Information Security,,,,10.1007/s10207-026-01264-8,Nazarii DzhaliukDmytro SabodashkoVolodymyr KhomaYuriy KhomaViktor KolchenkoMichal Podpora,2026,https://link.springer.com/article/10.1007/s10207-026-01264-8,Article
Bringing the Dual-LLM pattern to practice in Google ADK for deterministic AI agent security against prompt injection,Artificial Life and Robotics,,,,10.1007/s10015-026-01152-3,Shuo HuangShin-Jie Lee,2026,https://link.springer.com/article/10.1007/s10015-026-01152-3,Article
IntentBreaker: Intent-Adaptive Jailbreak Attack on&#xa0;Large Language Models,Machine Learning and Knowledge Discovery in Databases. Research Track,,,,10.1007/978-3-032-06078-5_14,Shengnan GuoYuchen ZhaiShenyi ZhangLingchen ZhaoZhangyi Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-06078-5_14,Conference paper
Ethical Implications of Prompt Injection in AI-mediated Grading: An Adversarial Red-Team Evaluation,Journal of Academic Ethics,,,,10.1007/s10805-026-09758-9,Niklas Humble,2026,https://link.springer.com/article/10.1007/s10805-026-09758-9,Article
Jailbreaking Large Language Models Through Content Concretization,Game Theory and AI for Security,,,,10.1007/978-3-032-08064-6_20,Johan WahréusAhmed HussainPanos Papadimitratos,2026,https://link.springer.com/chapter/10.1007/978-3-032-08064-6_20,Conference paper
Prompt Injection Detection via Attention Tracking: A Comparative Evaluation,Innovative Computing and Communications,,,,10.1007/978-3-032-30310-3_46,Nguyen Minh QuanLe Duc MinhNguyen Dai ThanhTruong Cong NguyenPhan Ngoc Thao MyChien D. C. TaVu Nguyen Hong,2026,https://link.springer.com/chapter/10.1007/978-3-032-30310-3_46,Conference paper
"A Review of Jailbreaking Large Language Models: Methods, Challenges, and Defences",Intelligent Strategies for ICT,,,,10.1007/978-3-032-20612-1_4,Gaurang MishraShikha Maheshwari,2026,https://link.springer.com/chapter/10.1007/978-3-032-20612-1_4,Conference paper
Iterative Prompting with Persuasion Skills in Jailbreaking Large Language Models,Proceedings of the 9th International Conference on Innovation in Artificial Intelligence,,,,10.1007/978-981-95-0887-7_33,Shih-Wen KeGuan-Yu LaiGuo-Lin FangHsi-Yuan Kao,2026,https://link.springer.com/chapter/10.1007/978-981-95-0887-7_33,Conference paper
Securing LLM-Integrated Chatbots: A Transformer-Based Vulnerability Scanner for&#xa0;Prompt Injection and&#xa0;Jailbreak Detection,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-032-17443-7_13,Shudarsan RegmiSelvam Saravanan,2026,https://link.springer.com/chapter/10.1007/978-3-032-17443-7_13,Conference paper
"Securing Retrieval-Augmented Generation: Prompt Injection, Exfiltration Paths, and Practical Defenses",Innovative Computing and Communications,,,,10.1007/978-3-032-28591-1_50,Aastha SinghSakshi HalwaiAbhishek KumarAbhinavMohd AdnanArpita Singh,2026,https://link.springer.com/chapter/10.1007/978-3-032-28591-1_50,Conference paper
Defending Against Jailbreak Through Early Exit Generation of&#xa0;Large Language Models,Neural Information Processing,,,,10.1007/978-981-95-4445-5_36,Chongwen ZhaoZhihao DouKaizhu Huang,2026,https://link.springer.com/chapter/10.1007/978-981-95-4445-5_36,Conference paper
FATS: A Prompt Injection Attack Utilizing Feign Security Agents with&#xa0;Deceptive Few-Shots Learning,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7078-2_47,Yupeng RenJiangtao ChenRui Zhang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7078-2_47,Conference paper
RPDP-Guard: Defending Large Language Models Against Jailbreaking Attacks Through Risk Perception and&#xa0;Dynamic Prompting,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-032-21168-2_4,Beilei ZhangHao WangTao HuRongkui ZhouMing TanWeitao HanHailong Ma,2026,https://link.springer.com/chapter/10.1007/978-3-032-21168-2_4,Conference paper
StreamGuard: A Streaming-Based Defense Against Jailbreaking Attacks in&#xa0;Large Language Models,Neural Information Processing,,,,10.1007/978-981-95-4109-6_21,Laizhen LiXitong GaoXuan WangJuanjuan ZhaoKejiang Ye,2026,https://link.springer.com/chapter/10.1007/978-981-95-4109-6_21,Conference paper
Defending ChatGPT against jailbreak attack via self-reminders,Nature Machine Intelligence,,,,10.1038/s42256-023-00765-8,Yueqi XieJingwei YiJiawei ShaoJustin CurlLingjuan LyuQifeng ChenXing XieFangzhao Wu,2023,https://link.springer.com/article/10.1038/s42256-023-00765-8,Article
Prompt Injection is All You Need: A Systemic Framework for&#xa0;Evaluating Healthcare Misinformation in&#xa0;LLMs,Artificial Intelligence in Healthcare,,,,10.1007/978-3-032-00652-3_2,Nur Alesha ZahraZad Chin,2026,https://link.springer.com/chapter/10.1007/978-3-032-00652-3_2,Conference paper
Exploring Prompt Injection: Methodologies and&#xa0;Risks with&#xa0;an&#xa0;Interactive Chatbot Demonstration,Information and Communication Technology,,,,10.1007/978-981-96-4288-5_31,The-Anh HoangXuan-Tung NguyenQuynh-Nhu Pham-VoNhat-Hung Dang-Hoang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4288-5_31,Conference paper
Prompt Injection Attacks in&#xa0;Defended Systems,Distributed Computer and Communication Networks,,,,10.1007/978-3-031-80853-1_30,Daniil KhomskyNarek MaloyanBulat Nutfullin,2025,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_30,Conference paper
Round Trip Translation Defence Against Large Language Model Jailbreaking Attacks,Trends and Applications in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8197-6_21,Canaan YungHadi Mohaghegh DolatabadiSarah ErfaniChristopher Leckie,2025,https://link.springer.com/chapter/10.1007/978-981-96-8197-6_21,Conference paper
Retrieval Poisoning Attacks Based on&#xa0;Prompt Injections into Retrieval-Augmented Generation Systems that&#xa0;Store Generated Responses,Distributed Computer and Communication Networks,,,,10.1007/978-3-031-80853-1_31,Yegor AnichkovVictor PopovSergey Bolovtsov,2025,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_31,Conference paper
An Integrated Framework for&#xa0;Jailbreak Prevention Using Knowledge Graphs and&#xa0;Large Language Models,Sustainable Computing and Intelligent Systems,,,,10.1007/978-3-032-22917-5_2,Vikrant RameshJ. VishwannthR. AishwaryaAruna GaldysV. Vetriselvi,2026,https://link.springer.com/chapter/10.1007/978-3-032-22917-5_2,Conference paper
Jatmo: Prompt Injection Defense by&#xa0;Task-Specific Finetuning,Computer Security – ESORICS 2024,,,,10.1007/978-3-031-70879-4_6,Julien PietMaha AlrashedChawin SitawarinSizhe ChenZeming WeiElizabeth SunBasel AlomairDavid Wagner,2024,https://link.springer.com/chapter/10.1007/978-3-031-70879-4_6,Conference paper
Automatic Security Testing of&#xa0;System Prompts Against Prompt Injection Attacks,Research Challenges in Information Science,,,,10.1007/978-3-032-26836-5_12,Anargyros KiourkosJavier Luis Cánovas IzquierdoRobert Clarisó,2026,https://link.springer.com/chapter/10.1007/978-3-032-26836-5_12,Conference paper
Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,Computer Security. ESORICS 2025 International Workshops,,,,10.1007/978-3-032-16092-8_28,Donghyun LeeMo TiwariBrando Miranda,2026,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,Conference paper
Detection Method for&#xa0;Prompt Injection by&#xa0;Integrating Pre-trained Model and&#xa0;Heuristic Feature Engineering,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-95-3072-4_6,Yi JiRunzhi LiBaolei Mao,2026,https://link.springer.com/chapter/10.1007/978-981-95-3072-4_6,Conference paper
Prompt injection in manuscripts: exploiting loopholes or crossing ethical lines?,Research Integrity and Peer Review,,,,10.1186/s41073-025-00187-7,Tang ShuchenZilong Li,2026,https://link.springer.com/article/10.1186/s41073-025-00187-7,Article
Prompt injection attacks on vision-language models for surgical decision support,npj Digital Surgery,,,,10.1038/s44484-026-00014-6,Zheyuan ZhangMuhammad Ibtsaam QadirMatthias CarstensEvan Hongyang ZhangMadison Sarah LoiselleFarren Marc MartinusMaksymilian Ksawier MroczkowskiJan ClusmannJakob Nikolas KatherFiona R. Kolbinger,2026,https://www.nature.com/articles/s44484-026-00014-6,Article
Comparative Analysis of&#xa0;Jailbreaking Techniques for&#xa0;Large Language Models: A Systematic Evaluation Framework,Computational Intelligence in Security for Information Systems,,,,10.1007/978-3-032-19770-2_11,Pablo VellosilloAna Garcia-FornesJose SuchElena del Val,2026,https://link.springer.com/chapter/10.1007/978-3-032-19770-2_11,Conference paper
When Vision Becomes a&#xa0;Threat: Adversarial Prompt Injection via&#xa0;Visual Embedding Manipulation,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7081-2_10,Yajing MaJunfeng HaoHaizhou Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7081-2_10,Conference paper
Secure Guard: A Semantic-Based Jailbreak Prompt Detection Framework for&#xa0;Protecting Large Language Models,Information and Communications Security,,,,10.1007/978-981-95-3537-8_22,Sixin FangKe ChengJixin ZhangZheng QinMingwu Zhang,2026,https://link.springer.com/chapter/10.1007/978-981-95-3537-8_22,Conference paper
Prompt injection attacks on vision language models in oncology,Nature Communications,,,,10.1038/s41467-024-55631-x,Jan ClusmannDyke FerberIsabella C. WiestCarolin V. SchneiderTitus J. BrinkerSebastian FoerschDaniel TruhnJakob Nikolas Kather,2025,https://link.springer.com/article/10.1038/s41467-024-55631-x,Article
Images are Achilles’ Heel of&#xa0;Alignment: Exploiting Visual Vulnerabilities for&#xa0;Jailbreaking Multimodal Large Language Models,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-73464-9_11,Yifan LiHangyu GuoKun ZhouWayne Xin ZhaoJi-Rong Wen,2025,https://link.springer.com/chapter/10.1007/978-3-031-73464-9_11,Conference paper
CCJA: Context-Coherent Jailbreak Attack for Aligned Large Language Models,Machine Learning,,,,10.1007/s10994-026-07069-z,Guanghao ZhouCen ChenPanjia QiuMingyuan FanMingyuan ChuXin ZhangJun Zhou,2026,https://link.springer.com/article/10.1007/s10994-026-07069-z,Article
Defender: The Possibility of Repairing Jailbreak Defects,"Proceedings of the 3rd International Conference on Machine Learning, Cloud Computing and Intelligent Mining (MLCCIM2024)",,,,10.1007/978-981-96-1694-7_17,Xueting WangYanjie Wei,2025,https://link.springer.com/chapter/10.1007/978-981-96-1694-7_17,Conference paper
A novel data-level prompt injection attack against graph prompt learning,Cybersecurity,,,,10.1186/s42400-026-00650-y,Mengying YuanZhiyong ZhangGaoyuan QuanJunyan PanYu Fu,2026,https://link.springer.com/article/10.1186/s42400-026-00650-y,Article
Linguistic profile of LLMs: an overview of linguistic performance and jailbreak vulnerability,Journal of Cultural Cognitive Science,,,,10.1007/s41809-025-00192-8,Esra AbdelzaherEshrag Rafaee,2026,https://link.springer.com/article/10.1007/s41809-025-00192-8,Article
PlaqueCap: lesion-centered captioning of atherosclerotic plaques in intravascular ultrasound using vision-language models and prompt injection,npj Digital Medicine,,,,10.1038/s41746-025-02044-9,Guoqiang RenMing HouXiaoping YangYanqi HuangDa LiNing ZhangPengfei LiuHonghua YeZhen ChenHongping Chen,2025,https://link.springer.com/article/10.1038/s41746-025-02044-9,Article
Jailbreak Attack on&#xa0;a&#xa0;Multi-agent LLM Defense System,Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6441-2_22,Junichiro AndoSatoshi OkadaTakuho Mitsunaga,2025,https://link.springer.com/chapter/10.1007/978-981-96-6441-2_22,Conference paper
Jailbreaking LLMs and Its Security Implications,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_1,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_1,Chapter
Are Large Language Models Really Bias-Free? Jailbreak Prompts for&#xa0;Assessing Adversarial Robustness to&#xa0;Bias Elicitation,Discovery Science,,,,10.1007/978-3-031-78977-9_4,Riccardo CantiniGiada CosenzaAlessio OrsinoDomenico Talia,2025,https://link.springer.com/chapter/10.1007/978-3-031-78977-9_4,Conference paper
Cross-layer contagion of prompt injections in multi-agent swarms: a multiplex microscopic markov chain approach,Cybersecurity,,,,10.1186/s42400-026-00628-w,Tran Duc LeTruong Duy DinhThi Le Quyen NguyenCong Danh Nguyen,2026,https://link.springer.com/article/10.1186/s42400-026-00628-w,Article
Breaking Barriers: Multi-Agent Prompt Fusion for Automated LLM Jailbreaks,Cognitive Computation,,,,10.1007/s12559-026-10552-3,Jiaen HuJuan ZhangZiChen Li,2026,https://link.springer.com/article/10.1007/s12559-026-10552-3,Article
HBS-KGLLM: A General Framework for&#xa0;Generating Knowledge Graphs for&#xa0;Jailbreaking,Database Systems for Advanced Applications,,,,10.1007/978-981-95-3906-2_31,Xinzhe ZhaoBohan LiJunnan ZhuoWenlong WuRuilong HuangYuanrui LiuHaofen WangHua DaiQuoc Viet Hung Nguyen,2026,https://link.springer.com/chapter/10.1007/978-981-95-3906-2_31,Conference paper
Jailbreaking LLMs,,,,,10.1007/979-8-8688-2958-1,Priyanka Neelakrishnan,2026,https://link.springer.com/book/10.1007/979-8-8688-2958-1,Book
Semantic Steer Chain: Efficient and&#xa0;Precise Black-Box Jailbreaking Through Adaptive Approximation,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-92-1462-4_12,Jiesen LongYisheng ZhengJiayun WuGuojiao Zhao,2026,https://link.springer.com/chapter/10.1007/978-981-92-1462-4_12,Conference paper
IntentObfuscator: A Jailbreaking Method via&#xa0;Confusing LLM with&#xa0;Prompts,Computer Security – ESORICS 2024,,,,10.1007/978-3-031-70903-6_8,Shang ShangZhongjiang YaoYepeng YaoLiya SuZijing FanXiaodan ZhangZhengwei Jiang,2024,https://link.springer.com/chapter/10.1007/978-3-031-70903-6_8,Conference paper
Mass-Scale Analysis of&#xa0;In-the-Wild Conversations Reveals Complexity Bounds on&#xa0;LLM Jailbreaking,Artificial Intelligence XLII,,,,10.1007/978-3-032-11402-0_5,Aldan CreoRaul Castro FernandezManuel Cebrian,2026,https://link.springer.com/chapter/10.1007/978-3-032-11402-0_5,Conference paper
Watch Your Words: Successfully Jailbreak LLM by&#xa0;Mitigating the&#xa0;“Prompt Malice”,Web and Big Data,,,,10.1007/978-981-97-7232-2_20,Xiaowei XuYixiao XuXiong ChenPeng ChenMohan LiYanbin Sun,2024,https://link.springer.com/chapter/10.1007/978-981-97-7232-2_20,Conference paper
Reasoning-targeted Jailbreak Attacks on Large Reasoning Models via Semantic Triggers and Psychological Framing,Machine Intelligence Research,,,,10.1007/s11633-025-1602-0,Zehao WangLanjun Wang,2026,https://link.springer.com/article/10.1007/s11633-025-1602-0,Article
Countering Jailbreak Attacks with&#xa0;Two-Axis Pre-detection and&#xa0;Conditional Warning Wrappers,Computer Security – ESORICS 2025,,,,10.1007/978-3-032-07884-1_13,Hyunsik NaHajun KimDooshik YoonDaeseon Choi,2026,https://link.springer.com/chapter/10.1007/978-3-032-07884-1_13,Conference paper
Jailbreaking LLMs Through Tense Manipulation in&#xa0;Multi-turn Dialogues,Advances in Computational Intelligence Systems,,,,10.1007/978-3-032-07938-1_24,Michael TchuindjangNathan DuranPhil LeggFaiza Medjek,2026,https://link.springer.com/chapter/10.1007/978-3-032-07938-1_24,Conference paper
Jailbreaks und Grenzen,Basiswissen Künstliche Intelligenz,,,,10.1007/978-3-662-73446-9_8,Michael H. Überschär,2026,https://link.springer.com/chapter/10.1007/978-3-662-73446-9_8,Chapter
RefusalGuard-M: a scalable human–machine framework for multi-turn LLM jailbreak evaluation via semantic refusal manifold modeling,Cybersecurity,,,,10.1186/s42400-026-00633-z,Michael TchuindjangNathan DuranPhil LeggFaiza Medjek,2026,https://link.springer.com/article/10.1186/s42400-026-00633-z,Article
Dynamic Adversarial Training for Jailbreak Robustness: A Security Enhancement Scheme for LLMs,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9994-0_43,Mengxin MaQi ChuHaojie YuanTao GongNenghai Yu,2025,https://link.springer.com/chapter/10.1007/978-981-96-9994-0_43,Conference paper
"Review of&#xa0;LLM Jailbreaks: White-Box and&#xa0;Black-Box Perspectives on&#xa0;Attacks, Defenses, and&#xa0;Critical Metrics",Evaluation Science and Engineering,,,,10.1007/978-981-95-9694-2_8,Shuyuan LiuJiawei ChenZhaoxia Yin,2026,https://link.springer.com/chapter/10.1007/978-981-95-9694-2_8,Conference paper
Thoughts Behind Attack: Enhancing Security Against Jailbreak Attacks Using Chain-of-Thought,Natural Language Processing and Chinese Computing,,,,10.1007/978-981-95-3352-7_16,Zhe TaoBing XuMuyun YangHongjiao GuanWenpeng LuHailong CaoConghui ZhuTiejun Zhao,2026,https://link.springer.com/chapter/10.1007/978-981-95-3352-7_16,Conference paper
MnMR-GenA: a morphological recombination genetic algorithm for jailbreak attacks in low-resource language,Scientific Reports,,,,10.1038/s41598-026-47434-5,Yan LiGang WangHao Wang,2026,https://link.springer.com/article/10.1038/s41598-026-47434-5,Article
Chinese semantic obfuscation blackbox jailbreak for domestic large models,Cybersecurity,,,,10.1186/s42400-025-00491-1,Xinxin YueZhiyong ZhangJunchang JingWeiguo WangSimin TangMengdan Xue,2026,https://link.springer.com/article/10.1186/s42400-025-00491-1,Article
JailFact-Bench: A Comprehensive Analysis of Jailbreak Attacks vs. Hallucinations in&#xa0;LLMs,Applied Cryptography and Network Security Workshops,,,,10.1007/978-3-032-01823-6_2,Sanjana NambiarChristina Pöpper,2026,https://link.springer.com/chapter/10.1007/978-3-032-01823-6_2,Conference paper
PIDRCMPP: Rapid Multi-Strategy Hierarchical Jailbreak Attacks on LLMs,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9994-0_8,Jinyang WangShuai ZhangChang LiuTiehan CuiYanxu MaoDatao You,2025,https://link.springer.com/chapter/10.1007/978-981-96-9994-0_8,Conference paper
Quantifying the efficacy of scenario based jailbreaks on Llama using HarmBench and LLM-as-a-judge,Discover Artificial Intelligence,,,,10.1007/s44163-026-01816-w,Saklain AbdullahRiad HossainMahfuzulhoq Chowdhury,2026,https://link.springer.com/article/10.1007/s44163-026-01816-w,Article
AB jailbreaking - a novel hybrid framework for exploitation of adversarial vulnerabilities in LLMs,Scientific Reports,,,,10.1038/s41598-026-44403-w,Abrar AhmadMehwish NaseerUsman QamarMonther Alfuraidan,2026,https://link.springer.com/article/10.1038/s41598-026-44403-w,Article
Progressive Induction-Aware Optimization for LLMs Safety Under Multi-turn Jailbreaks,Machine Learning,,,,10.1007/s10994-026-07067-1,Sijia JingHongye CaoBoyan WangJing HuoYang Gao,2026,https://link.springer.com/article/10.1007/s10994-026-07067-1,Article
Quantifying modality imbalance and visual jailbreak robustness in LLaVA via projected gradient descent,Discover Applied Sciences,,,,10.1007/s42452-026-08793-w,Saklain AbdullahRiad HossainMahfuzulhoq Chowdhury,2026,https://link.springer.com/article/10.1007/s42452-026-08793-w,Article
Detecting Jailbreaking Prompts: an Anti-Persuasion Filter Framework,Advances in Social Networks Analysis and Mining,,,,10.1007/978-3-031-85240-4_14,Giuseppe FenzaMariacristina GalloVincenzo LoiaAlessandro NicolosiClaudio Stanzione,2026,https://link.springer.com/chapter/10.1007/978-3-031-85240-4_14,Conference paper
Responding to Jailbreaking in Enterprise LLMs,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_8,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_8,Chapter
Strategies for Safeguarding Against Jailbreak Attempts,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_6,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_6,Chapter
An In-depth Analysis of&#xa0;Jailbreaking Through Domain Characterization of&#xa0;LLM Training Sets,Hybrid Artificial Intelligent Systems,,,,10.1007/978-3-031-74186-9_10,Carlos Peláez-GonzálezAndrés Herrera-PoyatosFrancisco Herrera-Triguero,2025,https://link.springer.com/chapter/10.1007/978-3-031-74186-9_10,Conference paper
T2VShield: Model-Agnostic Jailbreak Defense for Text-to-Video Models,International Journal of Computer Vision,,,,10.1007/s11263-025-02724-9,Siyuan LiangJiayang LiuJiecheng ZhaiTianmeng FangRongcheng TuAishan LiuXiaochun CaoDacheng Tao,2026,https://link.springer.com/article/10.1007/s11263-025-02724-9,Article
Unveiling Vulnerabilities in&#xa0;Large Vision-Language Models: The SAVJ Jailbreak Approach,Artificial Neural Networks and Machine Learning – ICANN 2024,,,,10.1007/978-3-031-72344-5_28,Gang ZhangXiaowei FanJingquan FangYanna SunXiayang ShiChunyang Lu,2024,https://link.springer.com/chapter/10.1007/978-3-031-72344-5_28,Conference paper
Robustness of&#xa0;Modern LLMs Against Jailbreaking in&#xa0;Cybersecurity-Related Use Cases,"Security and Information Technologies with AI, Internet Computing and Big-Data Applications",,,,10.1007/978-3-032-24063-7_19,Christiane MaellerFilip StenforsMahmoud RahatOlga Torstensson,2026,https://link.springer.com/chapter/10.1007/978-3-032-24063-7_19,Conference paper
Small but&#xa0;Dangerous: Evaluating and&#xa0;Mitigating Jailbreak Vulnerabilities in&#xa0;Small Language Models,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,10.1007/978-3-032-19099-4_35,Leonardo PianoClaudia BattistinJeriek Van den AbeeleLivio Pompianu,2026,https://link.springer.com/chapter/10.1007/978-3-032-19099-4_35,Conference paper
Preventing Jailbreak Prompts as Malicious Tools for Cybercriminals: A Cyber Defense Perspective,"Technology Management for Intelligent, Open and Responsible Organizations and Ecosystems",,,,10.1007/978-3-032-23124-6_10,Jean Marie TshimulaXavier NdonaD’Jeff K. NkashamaPierre-Martin TardifFroduald KabanzaMarc FrappierShengrui Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-23124-6_10,Conference paper
Fine-tuning as Jailbreaking: A data-centric red teaming framework via logic injection,Automated Software Engineering,,,,10.1007/s10515-026-00659-0,Qiuxiang LiKe XuYubin QuJianping Wu,2026,https://link.springer.com/article/10.1007/s10515-026-00659-0,Article
"Generative AI jailbreaks as emerging cyberthreats: Ethical, legal, and societal implications",International Cybersecurity Law Review,,,,10.1365/s43439-026-00171-x,Fabian Teichmann,2026,https://link.springer.com/article/10.1365/s43439-026-00171-x,Article
Reward-Guided Many-Shot Jailbreaking,Natural Language Processing and Chinese Computing,,,,10.1007/978-981-95-3343-5_32,Yongkang ChenXiaotian ZouTong WangJianwen TianHu LiXiaohui Kuang,2026,https://link.springer.com/chapter/10.1007/978-981-95-3343-5_32,Conference paper
Efficient Safety Retrofitting Against Jailbreaking for&#xa0;LLMs,"Computer Safety, Reliability, and Security. SAFECOMP 2025 Workshops",,,,10.1007/978-3-032-02018-5_39,Dario Garcia-GasullaAdrián TormosAnna Arias-DuartDaniel HinjosOscar Molina-SedanoAshwin Kumar GurarajanMaria Eugenia Cardello,2026,https://link.springer.com/chapter/10.1007/978-3-032-02018-5_39,Conference paper
Vision-Fused Jailbreak: A Multi-modal Collaborative Jailbreak Attack,"Advances in Artificial Intelligence: Efficiency, Reliability, and Innovations in Machine Learning to Healthcare, and Blockchain",,,,10.1007/978-3-032-12362-6_14,Haojie HaoJiakai WangHainan LiZhilei ZhuHaotong Qing,2026,https://link.springer.com/chapter/10.1007/978-3-032-12362-6_14,Chapter
Jailbreak Large Reasoning Model Through Chain-of-Thought Forgery,Artificial Intelligence Security and Privacy,,,,10.1007/978-981-95-9884-7_9,Zihan HuangHao Cheng,2026,https://link.springer.com/chapter/10.1007/978-981-95-9884-7_9,Conference paper
Large reasoning models are autonomous jailbreak agents,Nature Communications,,,,10.1038/s41467-026-69010-1,Thilo HagendorffErik DernerNuria Oliver,2026,https://link.springer.com/article/10.1038/s41467-026-69010-1,Article
