Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract,RIS URL,Abstract Fetch Status,HTTP Status
When Generative AI Prompts Bite Back: Investigating Different Types of Prompt Injection Attacks on Large Language Models (LLMs) and Their Prevention Methods,"Contributions Presented at the International Conference on Computing, Communication, Cybersecurity & AI, July 10–11, 2025, Birmingham, UK",,,,10.1007/978-3-032-16791-0_30,Dishita NaikIshita NaikNitin Naik,2026,https://link.springer.com/chapter/10.1007/978-3-032-16791-0_30,Conference paper,"Large Language Models (LLMs) are designed to exhibit a high degree of flexibility, enabling them to adapt to a wide range of tasks expressed in natural language. LLMs predominantly operate through a prompt-based paradigm, wherein all interactions are facilitated through natural language prompts. The flexibility and expressive power of LLM prompts also render them a primary vector for prompt injection attacks due to the complex and often opaque structural characteristics of prompt composition, as well as the virtually unbounded attack surface introduced by the infinite variability of natural language expressions. The inherent complexity of prompt structures, coupled with their representation through the infinitely variable medium of natural language, creates opportunities for attackers to exploit these LLM prompts in ways that can manipulate the behaviour of the LLM and enable it to generate unintended or adversarial outputs. Such potential attacks pose significant challenges to the safe and trustworthy deployment of LLMs, thereby necessitating rigorous investigation and a comprehensive understanding to develop effective mitigation strategies. This paper will investigate different types of prompt injection attacks on LLMs. Firstly, it will investigate prompts in LLMs, and various elements of the LLM prompt. Secondly, it will investigate each type of prompt injection attack in detail including its associated attack vectors and an explicit difference with other types of prompt injection attacks. Thirdly, it will investigate several risks associated with prompt injection attacks on LLMs. Lastly, it will investigate several prevention methods for prompt injection attacks on LLMs.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-16791-0_30?format=refman&flavour=citation,downloaded_abstract_ok,200
Comparative evaluation of machine learning methods for protecting LLMs from prompt injection attacks,International Journal of Information Security,,,,10.1007/s10207-026-01264-8,Nazarii DzhaliukDmytro SabodashkoVolodymyr KhomaYuriy KhomaViktor KolchenkoMichal Podpora,2026,https://link.springer.com/article/10.1007/s10207-026-01264-8,Article,"Prompt Injection attacks are a significant threat to the security of Large Language Models, giving adversaries the possibility to manipulate model outputs and bypass guardrails and restrictions. This study explores the effectiveness of selected Machine Learning -based approaches in detecting such attacks, comparing four classes of general-purpose and specialized defense approaches. Our empirical evaluation helps to identify and discuss each method, showing that detection effectiveness is strongly dependent on detection strategies and deployment trade-offs in inline defenses. Using a large benchmark of over 300k labeled prompts, selected following a comparison with three additional open-source corpora, we evaluate (1) traditional ML-based classifiers using embeddings, (2) independently fine-tuned encoder-based transformer models (DistilBERT, RoBERTa, DeBERTa), (3) specialized transformer-based detection models pre-trained for Prompt Injection, and (4) general-purpose LLMs configured as classifiers. Our experiments show that fine-tuned models achieve the highest detection rate on balanced benchmarks, traditional ML-based classifiers provide reasonably strong accuracy while requiring less computation, specialized detector models obtain lower recall, and general-purpose LLM-based classifiers can provide competitive performance, depending on the model used. Our research contributes to improving the robustness of AI-driven security systems against Prompt Injection by presenting a comparative study that can help in selecting and deploying ML-based defense against Prompt Injection attacks.",https://citation-needed.springer.com/v2/references/10.1007/s10207-026-01264-8?format=refman&flavour=citation,downloaded_abstract_ok,200
Bringing the Dual-LLM pattern to practice in Google ADK for deterministic AI agent security against prompt injection,Artificial Life and Robotics,,,,10.1007/s10015-026-01152-3,Shuo HuangShin-Jie Lee,2026,https://link.springer.com/article/10.1007/s10015-026-01152-3,Article,"Large language models (LLMs) are increasingly used as tool-using agents, but indirect prompt injection in external data can trigger unauthorized actions. Many prompt-injection defenses rely on model-based detection, whose decisions can be difficult to audit in deployment. We demonstrate how dual large language model (Dual-LLM) boundary-control principles can be implemented natively in Google’s Agent Development Kit (ADK) through deterministic enforcement points. Our implementation separates a privileged LLM (P-LLM) from a quarantined LLM (Q-LLM), replaces untrusted values with symbolic universally unique identifier (UUID) keys, constrains P-LLM–Q-LLM exchange via schema-validated structured outputs, and optionally applies pre-tool policy checks through ADK callbacks. We evaluate on a fixed attacked benchmark of 50 cases across four environments (banking, Slack, travel, and workspace) using per-case utility and security judges with environment-state validation and trace logging. Across five repeated runs per configuration with openai/gpt-4.1, the single-agent baseline achieves 94.4 ± 2.6% utility and 25.6 ± 3.0% attack success rate (ASR). An AgentDojo-derived Tool Filter baseline achieves 82.4 ± 3.0% utility and 2.8 ± 1.1% ASR. The Dual-LLM configurations without and with policy achieve 78.0 ± 2.0% and 70.4 ± 1.7% utility, respectively; no successful attack is observed in either configuration (0.0 ± 0.0% ASR). Repeating the same five-run evaluation with gemini-2.5-flash records 37.2 ± 4.6% ASR for Baseline, 5.6 ± 0.9% for Tool Filter, and 0.0 ± 0.0% for both Dual-LLM configurations.",https://citation-needed.springer.com/v2/references/10.1007/s10015-026-01152-3?format=refman&flavour=citation,downloaded_abstract_ok,200
IntentBreaker: Intent-Adaptive Jailbreak Attack on&#xa0;Large Language Models,Machine Learning and Knowledge Discovery in Databases. Research Track,,,,10.1007/978-3-032-06078-5_14,Shengnan GuoYuchen ZhaiShenyi ZhangLingchen ZhaoZhangyi Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-06078-5_14,Conference paper,"Recent research on jailbreak attacks has uncovered substantial robustness vulnerabilities in existing large language models (LLMs), enabling attackers to bypass safety guardrails through carefully crafted malicious prompts. Such prompts can induce the generation of harmful content, posing significant safety and ethical concerns. In this paper, we reveal that the difficulty of successfully jailbreaking LLMs varies considerably depending on the intent of the attacker, which inherently limits the overall attack success rate (ASR). Current approaches mostly rely on generic jailbreak templates and optimization strategies, and this lack of adaptability limits their effectiveness and efficiency across diverse jailbreak intents.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-06078-5_14?format=refman&flavour=citation,downloaded_abstract_ok,200
Ethical Implications of Prompt Injection in AI-mediated Grading: An Adversarial Red-Team Evaluation,Journal of Academic Ethics,,,,10.1007/s10805-026-09758-9,Niklas Humble,2026,https://link.springer.com/article/10.1007/s10805-026-09758-9,Article,"The increasing integration of AI tools into academic work introduces both opportunities and new security risks, particularly concerning the integrity of evaluative practices. This study investigates the robustness of AI‑mediated work in higher education by examining whether indirect prompt injection attacks can manipulate course assessment outcomes. The aim is to examine how vulnerable AI‑supported grading processes are to hidden adversarial inputs and to explore potential implications for academic trust, fairness, and integrity in AI-mediated assessment. The study applies a structured adversarial security evaluation, drawing on red‑team testing methodologies. A synthetic student submission was generated and paired with five different indirect prompt injection attempts using combinations of different adversarial prompt techniques. Each attempt was iterated multiple times across different file formats against the same AI tool (Microsoft Copilot) under realistic usage conditions. The results show that several prompt injection attempts successfully altered the output, with some attack strategies achieving success rates between 94 and 100%, while remaining undetected in the output. These findings highlight a discrepancy between security safeguards and system behaviour, raising concerns for AI‑mediated academic work. The study argues for development of clear guidelines and policies for AI use, improved professional development, and standardised assessments for prompt injection resilience in organisations.",https://citation-needed.springer.com/v2/references/10.1007/s10805-026-09758-9?format=refman&flavour=citation,downloaded_abstract_ok,200
Jailbreaking Large Language Models Through Content Concretization,Game Theory and AI for Security,,,,10.1007/978-3-032-08064-6_20,Johan WahréusAhmed HussainPanos Papadimitratos,2026,https://link.springer.com/chapter/10.1007/978-3-032-08064-6_20,Conference paper,"Large Language Models (LLMs) are increasingly deployed for task automation and content generation, yet their safety mechanisms remain vulnerable to circumvention through different jailbreaking techniques. In this paper, we introduce Content Concretization (CC), a novel jailbreaking technique that iteratively transforms abstract malicious requests into concrete, executable implementations. CC is a two-stage process: first, generating initial LLM responses using lower-tier, less constrained safety filters models, then refining them through higher-tier models that process both the preliminary output and original prompt. We evaluate our technique using 350 cybersecurity-specific prompts, demonstrating substantial improvements in jailbreak Success Rates (SRs), increasing from 7% (no refinements) to 62% after three refinement iterations, while maintaining a cost of 7.5¢ per prompt. Comparative A/B testing across nine different LLM evaluators confirms that outputs from additional refinement steps are consistently rated as more malicious and technically superior. Moreover, manual code analysis reveals that generated outputs execute with minimal modification, although optimal deployment typically requires target-specific fine-tuning. With eventual improved harmful code generation, these results highlight critical vulnerabilities in current LLM safety frameworks.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-08064-6_20?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt Injection Detection via Attention Tracking: A Comparative Evaluation,Innovative Computing and Communications,,,,10.1007/978-3-032-30310-3_46,Nguyen Minh QuanLe Duc MinhNguyen Dai ThanhTruong Cong NguyenPhan Ngoc Thao MyChien D. C. TaVu Nguyen Hong,2026,https://link.springer.com/chapter/10.1007/978-3-032-30310-3_46,Conference paper,"Despite the improvements made in the area of large language model safety, Prompt Injection attacks can still pose a threat because malicious instructions can manipulate model behavior. The current state of defenses is such that they mostly focus on surface-level prompt features without taking into consideration the model’s dynamics. This paper proposes an innovative method using attention detection with a Focus Score to determine the attention distribution on the instruction and noise tokens in the Transformer model’s internals. Attention anomalies in different heads can be detected as distractor heads to signal any attack.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-30310-3_46?format=refman&flavour=citation,downloaded_abstract_ok,200
"A Review of Jailbreaking Large Language Models: Methods, Challenges, and Defences",Intelligent Strategies for ICT,,,,10.1007/978-3-032-20612-1_4,Gaurang MishraShikha Maheshwari,2026,https://link.springer.com/chapter/10.1007/978-3-032-20612-1_4,Conference paper,"Large Language Models (LLMs) are increasingly integrated with real-world applications. Still, their exposure to adversarial manipulation, particularly jailbreak attacks, poses a significant challenge to the safety and reliability of deployment. Jailbreak attacks are adversarial prompts or deceptive inputs that override an LLM’s safety mechanisms, enabling the generation of restricted and harmful content or policy-violating outputs. Recent studies reveal that these attacks exploit the model alignment and context handling that can be done with minimal technical expertise. The rapid growth of jailbreak techniques, from handcrafted prompt injections to automate template attacks, has raised concerns in secure deployment as well as utilisation and integration of these LLMs. This paper presents a comprehensive review of jailbreak attacks on LLMs, categorising them into different categories based on their nature and mechanism. For each category, we have examined previous studies and their key findings. We also review existing countermeasures and defense techniques for their defense and mitigation. Finally, we identify ongoing challenges, such as the scarcity of standardised benchmarks, the adaptive nature of attackers, and the difficulty of defending against contextual jailbreaks. This review highlights the nature and purpose of these attacks and the need to implement dynamic defense system to handle evolving attacks. It also appreciates cross-disciplinary collaboration to mitigate these attack threats and ensure the safe deployment of LLMs.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-20612-1_4?format=refman&flavour=citation,downloaded_abstract_ok,200
Iterative Prompting with Persuasion Skills in Jailbreaking Large Language Models,Proceedings of the 9th International Conference on Innovation in Artificial Intelligence,,,,10.1007/978-981-95-0887-7_33,Shih-Wen KeGuan-Yu LaiGuo-Lin FangHsi-Yuan Kao,2026,https://link.springer.com/chapter/10.1007/978-981-95-0887-7_33,Conference paper,"Large language models (LLMs) are designed to align with human values in their responses. This study exploits LLMs with an iterative prompting technique where each prompt is systematically modified and refined across multiple iterations to enhance its effectiveness in jailbreaking attacks progressively. This technique involves analyzing the response patterns of LLMs, including GPT-3.5, GPT-4, LLaMa2, Vicuna, and ChatGLM, allowing us to adjust and optimize prompts to evade the LLMs’ ethical and security constraints. Persuasion strategies enhance prompt effectiveness while maintaining consistency with malicious intent. Our results show that the attack success rates (ASR) increase as the attacking prompts become more refined with the highest ASR of 90% for GPT4 and ChatGLMa and the lowest ASR of 68% for LLaMa2. Our technique outperforms baseline techniques (PAIR and PAP) in ASR and shows comparable performance with GCG and ArtPrompt.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-0887-7_33?format=refman&flavour=citation,downloaded_abstract_ok,200
Securing LLM-Integrated Chatbots: A Transformer-Based Vulnerability Scanner for&#xa0;Prompt Injection and&#xa0;Jailbreak Detection,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-032-17443-7_13,Shudarsan RegmiSelvam Saravanan,2026,https://link.springer.com/chapter/10.1007/978-3-032-17443-7_13,Conference paper,"Large Language Models (LLMs) are increasingly being integrated into conversational agents across critical domains, ranging from customer support to task automation. While their capabilities have improved significantly, their susceptibility to adversarial inputs has raised serious concerns regarding safety and reliability. Specifically, threats such as prompt injection, jailbreaking, and training data leakage can cause LLMs to disclose sensitive information or perform unauthorized actions. In this work, we propose a supervised learning-based vulnerability scanner designed to assess the security posture of LLM-integrated chatbots by analyzing their responses. The core of our system is a multi-class text classifier built on top of transformer architectures. The classifier is trained to assign severity scores to chatbot outputs, indicating the likelihood and extent of security violations. We constructed a labeled dataset of synthetic responses generated by popular LLMs, categorized into four severity levels ranging from benign to critical. Four transformer-based models: RoBERTa, DeBERTa, ELECTRA, and DistilBERT were trained and evaluated on this dataset. Our experimental results indicate that ELECTRA achieves the best overall performance, reaching a classification accuracy of 97.08 %. The proposed system has been implemented as an end-to-end assessment tool, capable of interfacing with live chatbot APIs, executing adversarial payloads, and producing actionable security reports.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-17443-7_13?format=refman&flavour=citation,downloaded_abstract_ok,200
"Securing Retrieval-Augmented Generation: Prompt Injection, Exfiltration Paths, and Practical Defenses",Innovative Computing and Communications,,,,10.1007/978-3-032-28591-1_50,Aastha SinghSakshi HalwaiAbhishek KumarAbhinavMohd AdnanArpita Singh,2026,https://link.springer.com/chapter/10.1007/978-3-032-28591-1_50,Conference paper,"Businesses use retrieval-augmented generation (RAG) to provide output from their models, based on a credible source. Still, the same method is used to produce “high-leverage” pathways to inject prompts and leak data. This review frames RAG security as a control-plane issue: Untrusted input (retrieved text, tool output) is combined with trusted input (privileged prompt), which may direct the model’s behaviour and execute side-effecting tools. We will frame attacks as pivoting through three mechanisms: Context Manipulation, Boundary Crossing, Egress and demonstrate how each mechanism allows an attacker to bypass policy or disclose information. Rather than a single defense, we outline a layered baseline that combines source governance, safety-aware retrieval, prompt compartmentalization, scoped tool capabilities, and egress policies. We also highlight where current evaluations fall short: limited modelling of indirect injections seeded in corpora, weak measurement of exfiltration, and minimal coverage of realistic tool chains. The result is a compact map of failure modes and mitigations that practitioners can apply today while providing researchers with targets for stronger, comparable benchmarks.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-28591-1_50?format=refman&flavour=citation,downloaded_abstract_ok,200
Defending Against Jailbreak Through Early Exit Generation of&#xa0;Large Language Models,Neural Information Processing,,,,10.1007/978-981-95-4445-5_36,Chongwen ZhaoZhihao DouKaizhu Huang,2026,https://link.springer.com/chapter/10.1007/978-981-95-4445-5_36,Conference paper,"Large Language Models (LLMs) are increasingly attracting attention in various applications. Nonetheless, there is a growing concern as some users attempt to exploit these models for malicious purposes, including the synthesis of controlled substances and the propagation of disinformation. In an effort to mitigate such risks, the concept of “Alignment” technology has been developed. However, recent studies indicate that this alignment can be undermined using sophisticated prompt engineering or adversarial suffixes, a technique known as “Jailbreak”. Our research takes cues from the human-like generate process of LLMs. We identify that while jailbreaking prompts may yield output logits similar to benign prompts, their initial embeddings within the model’s latent space tend to be more analogous to those of malicious prompts. Leveraging this finding, we propose utilizing the early transformer outputs of LLMs as a means to detect malicious inputs, and terminate the generation immediately. We introduce a simple yet significant defense approach called Eeg-Defender for LLMs. We conduct comprehensive experiments on ten jailbreak methods across three models. Our results demonstrate that Eeg-Defender is capable of reducing the Attack Success Rate (ASR) by a significant margin, roughly 85% in comparison with 50% for the present SOTAs, with minimal impact on the utility of LLMs.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-4445-5_36?format=refman&flavour=citation,downloaded_abstract_ok,200
