Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Language Modeling and Large Language Models,Intelligent Language Services,,,,10.1007/978-981-95-4632-9_2,Jingsong Shawn YuYazhi Yao,2026,https://link.springer.com/chapter/10.1007/978-981-95-4632-9_2,Chapter
A comprehensive taxonomy of prompt engineering techniques for large language models,Frontiers of Computer Science,,,,10.1007/s11704-025-50058-z,Yao-Yang LiuZhen ZhengFeng ZhangJin-Cheng FengYi-Yang FuJi-Dong ZhaiBing-Sheng HeXiao ZhangXiao-Yong Du,2025,https://link.springer.com/article/10.1007/s11704-025-50058-z,Article
Retrieval Poisoning Attacks Based on&#xa0;Prompt Injections into Retrieval-Augmented Generation Systems that&#xa0;Store Generated Responses,Distributed Computer and Communication Networks,,,,10.1007/978-3-031-80853-1_31,Yegor AnichkovVictor PopovSergey Bolovtsov,2025,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_31,Conference paper
Security Risks in Large Language Models and General Mitigation Strategies,Advancing Innovative Cybersecurity Solutions and Approaches to Protect Digital Ecosystems,,,,10.1007/978-3-032-13075-4_1,Ruidong ZhangModimowabarwa Kanyane,2026,https://link.springer.com/chapter/10.1007/978-3-032-13075-4_1,Conference paper
Ethical Implications of Prompt Injection in AI-mediated Grading: An Adversarial Red-Team Evaluation,Journal of Academic Ethics,,,,10.1007/s10805-026-09758-9,Niklas Humble,2026,https://link.springer.com/article/10.1007/s10805-026-09758-9,Article
Prompt Injection is All You Need: A Systemic Framework for&#xa0;Evaluating Healthcare Misinformation in&#xa0;LLMs,Artificial Intelligence in Healthcare,,,,10.1007/978-3-032-00652-3_2,Nur Alesha ZahraZad Chin,2026,https://link.springer.com/chapter/10.1007/978-3-032-00652-3_2,Conference paper
Harnessing Large Language Models for&#xa0;Real-Time Cyber Threat Detection and&#xa0;Response: A Comprehensive Survey,Information Security and Privacy,,,,10.1007/978-981-92-3015-0_19,Xiaoyu LiNan SunJiaojiao Jiang,2026,https://link.springer.com/chapter/10.1007/978-981-92-3015-0_19,Conference paper
Prompt-in-Content Attacks: Exploiting Uploaded Inputs to&#xa0;Hijack LLM Behavior,Network and System Security,,,,10.1007/978-981-95-6419-4_9,Zhuotao LianWeiyu WangQingkui ZengToru NakanishiTeruaki KitasukaChunhua Su,2026,https://link.springer.com/chapter/10.1007/978-981-95-6419-4_9,Conference paper
Data protection in the era of large language models: challenges and opportunities,AI and Ethics,,,,10.1007/s43681-026-01223-y,Zvinodashe RevesaiColletor Tendeukai Chipfumbu,2026,https://link.springer.com/article/10.1007/s43681-026-01223-y,Article
A Unified Experimental Evaluation of Guardrail Mechanisms for LLM Agents,Proceedings of the Fifth International Conference on Innovations in Computing Research (ICR’26),,,,10.1007/978-3-032-32636-2_39,Roman SafiullinViktoriia KorzhukAkylzhan KerimbayRoman Patrikeev,2027,https://link.springer.com/chapter/10.1007/978-3-032-32636-2_39,Conference paper
Small but&#xa0;Dangerous: Evaluating and&#xa0;Mitigating Jailbreak Vulnerabilities in&#xa0;Small Language Models,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,10.1007/978-3-032-19099-4_35,Leonardo PianoClaudia BattistinJeriek Van den AbeeleLivio Pompianu,2026,https://link.springer.com/chapter/10.1007/978-3-032-19099-4_35,Conference paper
"Security, Privacy, and Ethical Challenges in Large Language Models: A Review",Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10680-x,Biswarup YogiNandini GhoshSekh Sahid,2026,https://link.springer.com/article/10.1007/s11831-026-10680-x,Article
Flooding spread of manipulated knowledge in LLM-based multi-agent communities,Science China Information Sciences,,,,10.1007/s11432-024-4663-2,Tianjie JuYiting WangYi HuaXinbei MaPengzhou ChengHaodong ZhaoYulong WangLifeng LiuJian XieZhuosheng ZhangGongshen Liu,2026,https://link.springer.com/article/10.1007/s11432-024-4663-2,Article
A Hallucination-Free Retrieval-Augmented Generation Framework for Long-Term Care Composite Inquiry Response,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23260-1_24,Hsing-Chung ChenCheng-Feng YePei-Yu HsuChin-Ling ChenChia-Hsin Cheng,2026,https://link.springer.com/chapter/10.1007/978-3-032-23260-1_24,Conference paper
"The <Emphasis FontCategory=""NonProportional"">Aloe Family</Emphasis> recipe for open and specialized healthcare LLMs",npj Digital Medicine,,,,10.1038/s41746-026-02637-y,Dario Garcia-GasullaJordi Bayarri-PlanasAshwin Kumar GururajanEnrique Lopez-CuenaAdrian TormosDaniel HinjosPablo Bernabeu-PerezAnna Arias-DuartPablo Agustin Martin-TorresMarta Gonzalez-MalloSergio Alvarez-NapagaoEduard Ayguadé-ParraUlises Cortés,2026,https://link.springer.com/article/10.1038/s41746-026-02637-y,Article
Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,Computer Security. ESORICS 2025 International Workshops,,,,10.1007/978-3-032-16092-8_28,Donghyun LeeMo TiwariBrando Miranda,2026,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,Conference paper
Foundation model-based generative AI for smart manufacturing: A paradigm shift,ENGINEERING Management,,,,10.1007/s42524-026-5359-0,Hao ZhengZiyue GengXun Xu,2026,https://link.springer.com/article/10.1007/s42524-026-5359-0,Article
CHORD: Context Homogeneity Analysis for Robust Defense Against RAG Poisoning Attacks,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-92-3541-4_6,Ruobing YaoNeng GaoChenyang Tu,2027,https://link.springer.com/chapter/10.1007/978-981-92-3541-4_6,Conference paper
Large language models in manufacturing: a comprehensive review,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-026-18711-4,Mazdak MaghanakiMohammad ShahinF. Frank Chen,2026,https://link.springer.com/article/10.1007/s00170-026-18711-4,Article
Three trustworthiness challenges in large language model-based financial systems: real-world examples and mitigation strategies,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2500421,Shurui XuFeng LuoShuyan LiMengzhen FanZhongtian Sun,2025,https://link.springer.com/article/10.1631/FITEE.2500421,Article
Evolution and Risks of LLMs,Introduction to Machine Learning with Security,,,,10.1007/978-3-031-59170-9_12,Pramod GuptaNaresh Kumar SehgalJohn M. Acken,2025,https://link.springer.com/chapter/10.1007/978-3-031-59170-9_12,Chapter
A Multi-layered Privacy-Preserving Framework for&#xa0;Large Language Models in&#xa0;Healthcare,Soft Computing and Its Engineering Applications,,,,10.1007/978-3-032-22065-3_1,Sahithi PadidelaSandeep KalariVikas G. AshokRavi Mukkamala,2026,https://link.springer.com/chapter/10.1007/978-3-032-22065-3_1,Conference paper
Preventing Jailbreak Prompts as Malicious Tools for Cybercriminals: A Cyber Defense Perspective,"Technology Management for Intelligent, Open and Responsible Organizations and Ecosystems",,,,10.1007/978-3-032-23124-6_10,Jean Marie TshimulaXavier NdonaD’Jeff K. NkashamaPierre-Martin TardifFroduald KabanzaMarc FrappierShengrui Wang,2026,https://link.springer.com/chapter/10.1007/978-3-032-23124-6_10,Conference paper
Software defect detection using large language models: a literature review,Frontiers of Computer Science,,,,10.1007/s11704-025-40672-2,Yu ChenYi ShenTaiyan WangShiwen OuRuipeng WangYuwei LiZulie Pan,2026,https://link.springer.com/article/10.1007/s11704-025-40672-2,Article
Emerging Threats,Adversarial AI Threat Response and Secure Model Design,,,,10.1007/979-8-8688-2308-4_13,Goran Trajkovski,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2308-4_13,Chapter
Data Privacy and Security in Large Language Models for Medical Fields,Next-Gen Healthcare,,,,10.1007/978-3-032-07267-2_7,Walid Al-Dhabyani,2026,https://link.springer.com/chapter/10.1007/978-3-032-07267-2_7,Chapter
TransitGPT: a generative AI-based framework for interacting with GTFS data using large language models,Public Transport,,,,10.1007/s12469-025-00395-w,Saipraneeth DevunuriLewis Lehe,2025,https://link.springer.com/article/10.1007/s12469-025-00395-w,Article
Large Language Models in Finance: An Overview,Finance and Large Language Models,,,,10.1007/978-981-96-5833-6_1,Paul Moon Sub ChoiSeth H. HuangQishu Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-5833-6_1,Chapter
When LLMs meet cybersecurity: a systematic literature review,Cybersecurity,,,,10.1186/s42400-025-00361-w,Jie ZhangHaoyu BuHui WenYongji LiuHaiqiang FeiRongrong XiLun LiYun YangHongsong ZhuDan Meng,2025,https://link.springer.com/article/10.1186/s42400-025-00361-w,Article
Backdoor threats in large language models—a survey,Science China Information Sciences,,,,10.1007/s11432-024-4351-3,Shuai LiuYiheng PanKun HongRuite FeiChenhao LinQian LiChao Shen,2025,https://link.springer.com/article/10.1007/s11432-024-4351-3,Article
Securing local LLMs for academic research: a human-system integration analysis and evolution of TAUCHI-GPT,Human-Intelligent Systems Integration,,,,10.1007/s42454-025-00085-9,Ahmed FarooqDevbrat AnuragiZhenxing LiMounia ZiatJeremy CooperstockRoope Raisamo,2025,https://link.springer.com/article/10.1007/s42454-025-00085-9,Article
Use large language model to enhance reasoning of another large language model through reward updated GRPO,Scientific Reports,,,,10.1038/s41598-026-39296-8,Yiqiao Yin,2026,https://link.springer.com/article/10.1038/s41598-026-39296-8,Article
Exploring the security of short-term and long-term contextual memory in industrial smart customer agent,Automated Software Engineering,,,,10.1007/s10515-026-00628-7,Yanxu MaoTiehan CuiJinyang WangDatao You,2026,https://link.springer.com/article/10.1007/s10515-026-00628-7,Article
Automated adversarial red-teaming for evaluating robustness in LLM-based recommender systems,Discover Artificial Intelligence,,,,10.1007/s44163-026-01546-z,Sarama ShehmirRasha Kashef,2026,https://link.springer.com/article/10.1007/s44163-026-01546-z,Article
Opportunities and&#xa0;Challenges with&#xa0;Large Language Models Tools in&#xa0;Computing Education,Emerging Trends in Computer Science and Computer Engineering Education,,,,10.1007/978-3-032-23499-5_6,Opetunde IbitoyeSaheed Popoola,2026,https://link.springer.com/chapter/10.1007/978-3-032-23499-5_6,Chapter
Prompt Engineering for Secure AI Design and Cyber Defense,Guide to AI for Cybersecurity,,,,10.1007/978-3-032-25874-8_8,Muthu Ramachandran,2026,https://link.springer.com/chapter/10.1007/978-3-032-25874-8_8,Chapter
Methodology for&#xa0;Systematic Security Testing of&#xa0;LLM-Based Applications,Computer Security. ESORICS 2025 International Workshops,,,,10.1007/978-3-032-16092-8_24,Dawid NastajWojciech Mazurczyk,2026,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_24,Conference paper
Leveraging Generative AI for Proactive Security and Automated Remediation in Cloud-Native CI/CD Pipelines,Software and Data Engineering,,,,10.1007/978-3-032-08649-5_2,Akshay MittalVivek Venkatesan,2026,https://link.springer.com/chapter/10.1007/978-3-032-08649-5_2,Conference paper
Explainability and Reliability of Large Language Models in Health Systems,Explainable Large Language  Models in Healthcare Applications,,,,10.1007/978-3-032-15088-2_3,Javad Jahangiri DarzehkonaniAzadeh ZamanifarFarhad Soleimanian Gharehchopogh,2026,https://link.springer.com/chapter/10.1007/978-3-032-15088-2_3,Chapter
Knowledge Conceptualization Impacts RAG Efficacy,Knowledge Graphs and Semantic Web,,,,10.1007/978-3-032-13109-6_15,Chris Davis JaldiAnmol SainiElham GhiasiO. Divine EzioliseCogan Shimizu,2026,https://link.springer.com/chapter/10.1007/978-3-032-13109-6_15,Conference paper
Large Language Models for&#xa0;Service-Oriented Computing (LLM4SOC): Review and&#xa0;Research Directions,Service-Oriented Computing,,,,10.1007/978-3-032-07313-6_6,Indika KumaraHasan KaplanJoshua OwotogbeDamian Andrew TamburriWillem-Jan van den Heuvel,2026,https://link.springer.com/chapter/10.1007/978-3-032-07313-6_6,Conference paper
Strategies for Safeguarding Against Jailbreak Attempts,Jailbreaking LLMs,,,,10.1007/979-8-8688-2958-1_6,Priyanka Neelakrishnan,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2958-1_6,Chapter
HyLLM-IDS: A Conceptual Hybrid LLM-Assisted Intrusion Detection Framework for&#xa0;Cyber-Physical Systems,"Computer Safety, Reliability, and Security. SAFECOMP 2025 Workshops",,,,10.1007/978-3-032-02018-5_10,Mamdouh MuhammadAbdelkader Magdy ShaabanReinhard GermanLoui Al Sardy,2026,https://link.springer.com/chapter/10.1007/978-3-032-02018-5_10,Conference paper
Large Language Models for Digital Health and Data Analytics in Low- and Middle-Income Countries: Practical Considerations,Pan-African Artificial Intelligence and Smart Systems,,,,10.1007/978-3-032-33957-7_35,Joel Herve Mboussam EmatiHedgar Plessy MboussamMounirah Djam-DoudouVianney Kengne Tchendji,2027,https://link.springer.com/chapter/10.1007/978-3-032-33957-7_35,Conference paper
Reasoning-targeted Jailbreak Attacks on Large Reasoning Models via Semantic Triggers and Psychological Framing,Machine Intelligence Research,,,,10.1007/s11633-025-1602-0,Zehao WangLanjun Wang,2026,https://link.springer.com/article/10.1007/s11633-025-1602-0,Article
Journey Through Language: Models and Prompt Engineering,Artificial Intelligence,,,,10.1007/978-3-031-91084-5_7,Rajendra Akerkar,2026,https://link.springer.com/chapter/10.1007/978-3-031-91084-5_7,Chapter
Harnessing Large Language Models for&#xa0;Personalized Learning: A Case Study in&#xa0;Algorithm Education at&#xa0;Mu’tah University,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87781-0_13,Nadia SalemLoai AlnemerKhawla M. Al-tarawnehHamza SalemManuel MazzaraAsma Salem,2025,https://link.springer.com/chapter/10.1007/978-3-031-87781-0_13,Conference paper
Large Language Models in Cyberattacks,Doklady Mathematics,,,,10.1134/S1064562425700012,S. V. LebedD. E. NamiotE. V. ZubarevaP. V. KhenkinA. A. VorobevaD. A. Svichkar,2024,https://link.springer.com/article/10.1134/S1064562425700012,Article
Jatmo: Prompt Injection Defense by&#xa0;Task-Specific Finetuning,Computer Security – ESORICS 2024,,,,10.1007/978-3-031-70879-4_6,Julien PietMaha AlrashedChawin SitawarinSizhe ChenZeming WeiElizabeth SunBasel AlomairDavid Wagner,2024,https://link.springer.com/chapter/10.1007/978-3-031-70879-4_6,Conference paper
